,player,class,season,pos,school_name,conf_abbr,g,mp,fg,fga,fg2,fg2a,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,obpm,dbpm,bpm,ts_pct,efg_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,ows,dws,ws,pprod,year_drafted,round,pick_overall,allStar,pts_pg,fg_p,fg2_p,fg3_p,ft_p,trb_p,ast_p,stl_p,blk_p
0,Stephen Curry,JR,2008-09,G,Davidson,Southern,34.0,1145.0,312,687,182,351,130,336,220,251,21.0,130.0,151,189,86,8,126.0,81.0,974,21.2,4.1,2.9,7.4,0.604,0.5489999999999999,6.0,14.8,6.9,40.2,1.9,0.6,13.5,38.3,114.1,97.9,6.4,3.6,9.9,425.0,2009,1,7,1,28.647058823529413,0.45414847161572053,0.5185185185185185,0.3869047619036104,0.8764940239008905,4.4411764705882355,5.5588235294117645,2.5294117647058822,0.23529411764705882
4,Stephen Curry,SO,2007-08,G,Davidson,Southern,36.0,1193.0,317,656,155,287,162,369,135,151,28.0,137.0,165,104,73,14,93.0,85.0,931,21.2,4.1,2.9,7.4,0.64,0.607,6.0,14.8,11.0,12.7,1.9,1.8,11.3,22.9,114.1,97.9,7.0,3.3,10.3,425.0,2009,1,7,1,25.86111111111111,0.48323170731707316,0.5400696864111498,0.43902439024271267,0.894039735093417,4.583333333333333,2.888888888888889,2.0277777777777777,0.3888888888888889
7,Kevin Durant,FR,2006-07,F,Texas,Big 12,35.0,1255.0,306,647,224,444,82,203,209,256,106.0,284.0,390,46,66,67,99.0,71.0,903,21.2,4.1,2.9,7.4,0.5870000000000001,0.536,6.0,14.8,16.5,8.6,1.9,3.5,11.4,33.2,114.1,97.9,4.7,4.1,8.8,425.0,2007,1,2,1,25.8,0.47295208655332305,0.5045045045045045,0.40394088669751754,0.816406249996811,11.142857142857142,1.3142857142857143,1.8857142857142857,1.9142857142857144
19,Blake Griffin,SO,2008-09,F,Oklahoma,Big 12,35.0,1165.0,300,459,297,451,3,8,191,324,135.0,369.0,504,80,39,41,116.0,89.0,794,21.2,4.1,2.9,7.4,0.648,0.657,6.0,14.8,24.0,16.3,1.9,2.6,15.9,30.8,114.1,97.9,6.1,3.5,9.7,425.0,2009,1,1,1,22.685714285714287,0.6535947712418301,0.6585365853658537,0.374999999953125,0.5895061728376867,14.4,2.2857142857142856,1.1142857142857143,1.1714285714285715
21,Damian Lillard,JR,2011-12,G,Weber State,Big Sky,32.0,1105.0,231,495,137,265,94,230,228,257,17.0,144.0,161,128,47,7,74.0,62.0,784,34.0,10.3,-1.4,8.8,0.635,0.562,1.9,15.8,9.0,27.1,2.5,0.7,10.7,33.0,128.4,101.6,6.7,1.4,8.0,746.0,2012,1,6,1,24.5,0.4666666666666667,0.5169811320754717,0.4086956521721361,0.887159533070478,5.03125,4.0,1.46875,0.21875
25,Carmelo Anthony,FR,2002-03,F,Syracuse,Big East,35.0,1274.0,277,612,221,446,56,166,168,238,101.0,248.0,349,77,55,30,77.0,77.0,778,21.2,4.1,2.9,7.4,0.537,0.498,6.0,14.8,14.0,11.9,1.9,1.5,9.6,29.3,114.1,97.9,2.7,3.1,5.8,425.0,2003,1,3,1,22.228571428571428,0.4526143790849673,0.49551569506726456,0.33734939758832927,0.7058823529382106,9.971428571428572,2.2,1.5714285714285714,0.8571428571428571
44,Klay Thompson,JR,2010-11,G,Washington State,Pac-10,34.0,1179.0,240,551,142,305,98,246,155,185,25.0,153.0,178,127,56,32,115.0,99.0,733,26.1,6.8,3.2,10.1,0.574,0.525,2.6,14.0,8.6,25.0,2.8,3.1,15.3,32.8,109.8,95.8,3.7,2.2,5.8,694.0,2011,1,11,1,21.558823529411764,0.4355716878402904,0.46557377049180326,0.39837398373821803,0.837837837833309,5.235294117647059,3.735294117647059,1.6470588235294117,0.9411764705882353
48,Stephen Curry,FR,2006-07,G,Davidson,Southern,34.0,1049.0,242,523,120,224,122,299,124,145,32.0,125.0,157,95,62,6,95.0,87.0,730,21.2,4.1,2.9,7.4,0.617,0.579,6.0,14.8,11.0,12.7,1.9,1.8,13.8,22.9,114.1,97.9,4.6,2.4,7.0,425.0,2009,1,7,1,21.470588235294116,0.4627151051625239,0.5357142857142857,0.4080267558514782,0.8551724137872058,4.617647058823529,2.7941176470588234,1.8235294117647058,0.17647058823529413
65,Dwyane Wade,JR,2002-03,G,Marquette,CUSA,33.0,1058.0,251,501,237,457,14,44,194,249,60.0,149.0,209,145,71,43,107.0,76.0,710,21.2,4.1,2.9,7.4,0.573,0.515,6.0,14.8,11.0,12.7,1.9,1.8,14.7,22.9,114.1,97.9,3.6,2.9,6.5,425.0,2003,1,5,1,21.515151515151516,0.500998003992016,0.5185995623632386,0.3181818181745868,0.7791164658603249,6.333333333333333,4.393939393939394,2.1515151515151514,1.303030303030303
73,James Harden,SO,2008-09,G,Arizona State,Pac-10,35.0,1254.0,221,452,163,289,58,163,204,270,48.0,147.0,195,148,59,11,118.0,99.0,704,21.2,4.1,2.9,7.4,0.607,0.5529999999999999,6.0,14.8,10.4,29.2,1.9,0.8,16.9,32.5,114.1,97.9,5.1,2.0,7.2,425.0,2009,1,3,1,20.114285714285714,0.4889380530973451,0.5640138408304498,0.35582822085671273,0.7555555555527572,5.571428571428571,4.228571428571429,1.6857142857142857,0.3142857142857143
90,Kevin Love,FR,2007-08,C,UCLA,Pac-10,39.0,1156.0,227,406,198,324,29,82,198,258,142.0,273.0,415,75,27,56,78.0,73.0,681,21.2,4.1,2.9,7.4,0.644,0.595,6.0,14.8,22.1,14.1,1.9,3.6,12.9,27.0,114.1,97.9,5.6,5.7,11.3,425.0,2008,1,5,1,17.46153846153846,0.5591133004926109,0.6111111111111112,0.35365853658105295,0.7674418604621417,10.64102564102564,1.9230769230769231,0.6923076923076923,1.435897435897436
110,Brandon Roy,SR,2005-06,G,Washington,Pac-10,33.0,1046.0,228,449,189,352,39,97,171,211,69.0,117.0,186,135,46,26,75.0,81.0,666,21.2,4.1,2.9,7.4,0.606,0.551,6.0,14.8,10.5,25.1,1.9,1.8,12.0,27.5,114.1,97.9,4.1,2.9,7.0,425.0,2006,1,6,1,20.181818181818183,0.5077951002227171,0.5369318181818182,0.4020618556659581,0.8104265402805193,5.636363636363637,4.090909090909091,1.393939393939394,0.7878787878787878
129,Paul Millsap,JR,2005-06,F,Louisiana Tech,WAC,33.0,1126.0,258,452,253,438,5,14,127,204,197.0,241.0,438,36,62,76,83.0,101.0,648,21.2,4.1,2.9,7.4,0.59,0.5760000000000001,6.0,14.8,11.0,12.7,1.9,1.8,13.1,22.9,114.1,97.9,4.1,6.7,10.8,425.0,2006,2,47,1,19.636363636363637,0.5707964601769911,0.5776255707762558,0.35714285711734695,0.6225490196047915,13.272727272727273,1.0909090909090908,1.878787878787879,2.303030303030303
138,David West,SR,2002-03,F,Xavier,A-10,32.0,1168.0,213,415,204,389,9,26,209,256,100.0,278.0,378,102,42,52,85.0,95.0,644,21.2,4.1,2.9,7.4,0.6,0.524,6.0,14.8,11.0,12.7,1.9,1.8,13.7,22.9,114.1,97.9,4.0,5.7,9.7,425.0,2003,1,18,1,20.125,0.5132530120481927,0.5244215938303342,0.3461538461405325,0.816406249996811,11.8125,3.1875,1.3125,1.625
192,Damian Lillard,SO,2009-10,G,Weber State,Big Sky,31.0,1062.0,185,429,101,215,84,214,163,191,11.0,114.0,125,112,35,4,74.0,58.0,617,24.8,4.1,2.9,7.4,0.594,0.529,1.2,12.8,6.9,23.3,1.9,0.4,12.5,28.0,121.2,105.1,4.4,1.0,5.4,581.0,2012,1,6,1,19.903225806451612,0.43123543123543123,0.4697674418604651,0.3925233644841471,0.8534031413567885,4.032258064516129,3.6129032258064515,1.1290322580645162,0.12903225806451613
197,John Wall,FR,2009-10,G,Kentucky,SEC,37.0,1288.0,202,438,165,324,37,114,175,232,30.0,129.0,159,241,66,19,149.0,72.0,616,22.3,4.1,2.9,7.4,0.562,0.503,2.7,10.1,6.6,34.8,2.9,1.5,21.4,25.7,111.7,94.1,3.7,2.6,6.3,669.0,2010,1,1,1,16.64864864864865,0.4611872146118721,0.5092592592592593,0.3245614035059249,0.7543103448243349,4.297297297297297,6.513513513513513,1.7837837837837838,0.5135135135135135
221,Klay Thompson,SO,2009-10,G,Washington State,Pac-10,31.0,1096.0,200,485,124,276,76,209,133,166,37.0,122.0,159,70,44,22,104.0,75.0,609,21.0,4.1,2.9,7.4,0.54,0.491,4.1,13.5,8.8,15.4,2.4,2.3,15.6,31.0,105.6,104.2,2.5,1.1,3.6,556.0,2011,1,11,1,19.64516129032258,0.41237113402061853,0.4492753623188406,0.36363636363462376,0.8012048192722819,5.129032258064516,2.2580645161290325,1.4193548387096775,0.7096774193548387
229,Josh Howard,SR,2002-03,F,Wake Forest,ACC,31.0,1002.0,204,428,151,286,53,142,145,174,102.0,155.0,257,59,64,48,82.0,89.0,606,21.2,4.1,2.9,7.4,0.593,0.539,6.0,14.8,14.0,13.4,1.9,3.2,13.8,28.0,114.1,97.9,3.6,3.5,7.0,425.0,2003,1,29,1,19.548387096774192,0.4766355140186916,0.527972027972028,0.3732394366170899,0.8333333333285441,8.290322580645162,1.903225806451613,2.064516129032258,1.5483870967741935
