,year_drafted,round,pick_overall,player,school_name,g,mp,fg,fga,fg2,fg2a,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,obpm,dbpm,bpm,ts_pct,efg_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,ows,dws,ws,pprod,allStar,pts_pg,fg_p,fg2_p,fg3_p,ft_p,trb_p,ast_p,stl_p,blk_p
0,2011,1,1,Kyrie Irving,Duke,11.0,303.0,55.0,104.0,37.0,65.0,18.0,39.0,64.0,71.0,6.0,31.0,37.0,47.0,16.0,6.0,27.0,23.0,192.0,32.5,10.8,3.5,14.3,0.6970000000000001,0.615,2.3,10.6,6.7,29.8,3.0,1.8,16.4,26.4,135.1,92.7,1.8,0.6,2.4,189.0,1.0,17.454545454545453,0.5288461538461539,0.5692307692307692,0.46153846152662725,0.9014084506915294,3.3636363636363638,4.2727272727272725,1.4545454545454546,0.5454545454545454
1,2011,1,2,Derrick Williams,Arizona,38.0,1141.0,226.0,380.0,184.0,306.0,42.0,74.0,247.0,331.0,105.0,209.0,314.0,43.0,37.0,26.0,100.0,106.0,741.0,32.8,9.2,2.6,11.8,0.69,0.65,11.8,21.9,17.0,8.7,1.9,2.3,15.7,28.9,128.8,97.3,6.0,1.9,7.9,675.0,0.0,19.5,0.5947368421052631,0.6013071895424836,0.5675675675598977,0.7462235649524284,8.263157894736842,1.131578947368421,0.9736842105263158,0.6842105263157895
2,2011,1,4,Tristan Thompson,Texas,36.0,1104.0,172.0,315.0,172.0,315.0,0.0,0.0,127.0,261.0,138.0,144.0,282.0,45.0,34.0,86.0,64.0,100.0,471.0,24.2,3.9,7.2,11.1,0.536,0.546,14.0,13.7,13.8,8.1,1.8,7.2,12.7,22.4,112.5,89.3,2.8,2.7,5.5,475.0,0.0,13.083333333333334,0.546031746031746,0.546031746031746,0.0,0.48659003831231196,7.833333333333333,1.25,0.9444444444444444,2.388888888888889
3,2011,1,8,Brandon Knight,Kentucky,38.0,1363.0,217.0,513.0,130.0,282.0,87.0,231.0,136.0,171.0,25.0,128.0,153.0,159.0,25.0,8.0,120.0,83.0,657.0,19.3,5.4,0.5,5.9,0.5529999999999999,0.508,2.2,10.2,6.3,23.4,1.1,0.6,16.8,27.0,109.9,101.5,3.6,1.8,5.3,652.0,0.0,17.289473684210527,0.42300194931773877,0.46099290780141844,0.3766233766217462,0.7953216374222496,4.026315789473684,4.184210526315789,0.6578947368421053,0.21052631578947367
4,2011,1,11,Klay Thompson,Washington State,34.0,1179.0,240.0,551.0,142.0,305.0,98.0,246.0,155.0,185.0,25.0,153.0,178.0,127.0,56.0,32.0,115.0,99.0,733.0,26.1,6.8,3.2,10.1,0.574,0.525,2.6,14.0,8.6,25.0,2.8,3.1,15.3,32.8,109.8,95.8,3.7,2.2,5.8,694.0,1.0,21.558823529411764,0.4355716878402904,0.46557377049180326,0.39837398373821803,0.837837837833309,5.235294117647059,3.735294117647059,1.6470588235294117,0.9411764705882353
5,2011,1,12,Alec Burks,Colorado,38.0,1193.0,251.0,535.0,223.0,439.0,28.0,96.0,249.0,302.0,91.0,156.0,247.0,112.0,41.0,12.0,99.0,89.0,779.0,29.4,7.3,-0.1,7.2,0.574,0.495,9.2,14.8,12.1,19.6,2.0,1.0,12.7,32.3,120.2,106.0,5.6,1.0,6.6,771.0,0.0,20.5,0.4691588785046729,0.5079726651480638,0.29166666666362845,0.824503311255548,6.5,2.9473684210526314,1.0789473684210527,0.3157894736842105
6,2011,1,13,Markieff Morris,Kansas,38.0,926.0,195.0,331.0,170.0,272.0,25.0,59.0,103.0,153.0,103.0,213.0,316.0,53.0,30.0,43.0,78.0,108.0,518.0,29.1,6.7,5.6,12.3,0.642,0.627,13.9,24.7,19.7,11.0,1.9,4.9,16.2,25.5,121.5,88.1,3.6,2.4,6.0,485.0,0.0,13.631578947368421,0.5891238670694864,0.625,0.4237288135521402,0.673202614374685,8.31578947368421,1.394736842105263,0.7894736842105263,1.131578947368421
7,2011,1,14,Marcus Morris,Kansas,38.0,1076.0,240.0,421.0,214.0,345.0,26.0,76.0,148.0,215.0,99.0,191.0,290.0,62.0,32.0,24.0,67.0,97.0,654.0,29.3,7.8,3.4,11.2,0.625,0.601,11.5,19.0,15.5,11.4,1.7,2.4,11.4,26.9,126.5,92.5,4.9,2.3,7.2,600.0,0.0,17.210526315789473,0.5700712589073634,0.6202898550724638,0.34210526315339335,0.6883720930200541,7.631578947368421,1.631578947368421,0.8421052631578947,0.631578947368421
8,2011,1,15,Kawhi Leonard,San Diego State,36.0,1172.0,211.0,475.0,186.0,389.0,25.0,86.0,110.0,145.0,111.0,269.0,380.0,91.0,51.0,21.0,76.0,89.0,557.0,26.5,3.9,5.2,9.1,0.512,0.471,11.4,26.2,19.0,16.0,2.7,1.9,12.3,27.6,112.5,86.3,3.6,3.2,6.8,567.0,1.0,15.472222222222221,0.4442105263157895,0.4781491002570694,0.2906976744152244,0.7586206896499406,10.555555555555555,2.5277777777777777,1.4166666666666667,0.5833333333333334
9,2011,1,17,Iman Shumpert,Georgia Tech,31.0,992.0,177.0,436.0,135.0,285.0,42.0,151.0,141.0,175.0,53.0,130.0,183.0,108.0,85.0,6.0,72.0,86.0,537.0,25.4,6.3,3.4,9.8,0.517,0.454,5.7,16.4,10.6,25.7,5.0,0.7,12.2,29.1,109.8,92.8,2.8,2.1,4.9,528.0,0.0,17.322580645161292,0.4059633027522936,0.47368421052631576,0.2781456953623964,0.8057142857096817,5.903225806451613,3.4838709677419355,2.7419354838709675,0.1935483870967742
10,2011,1,18,Chris Singleton,Florida State,28.0,814.0,124.0,286.0,89.0,191.0,35.0,95.0,84.0,126.0,58.0,133.0,191.0,33.0,55.0,41.0,61.0,90.0,367.0,21.9,2.6,6.9,9.5,0.531,0.495,8.2,17.0,12.8,8.9,3.9,5.9,15.0,24.5,105.6,84.2,1.5,2.4,3.9,344.0,0.0,13.107142857142858,0.43356643356643354,0.46596858638743455,0.3684210526277008,0.6666666666613756,6.821428571428571,1.1785714285714286,1.9642857142857142,1.4642857142857142
11,2011,1,19,Tobias Harris,Tennessee,34.0,993.0,185.0,402.0,162.0,326.0,23.0,76.0,128.0,170.0,67.0,180.0,247.0,44.0,24.0,29.0,62.0,70.0,521.0,23.8,3.3,2.3,5.5,0.54,0.489,7.5,20.6,14.0,10.4,1.4,3.4,11.4,27.2,112.7,98.8,2.9,1.5,4.4,476.0,0.0,15.323529411764707,0.4601990049751244,0.49693251533742333,0.30263157894338644,0.7529411764661592,7.264705882352941,1.2941176470588236,0.7058823529411765,0.8529411764705882
12,2011,1,21,Nolan Smith,Duke,37.0,1259.0,260.0,568.0,203.0,405.0,57.0,163.0,187.0,230.0,44.0,122.0,166.0,189.0,45.0,3.0,118.0,72.0,764.0,25.7,7.3,2.3,9.6,0.564,0.508,4.1,10.1,7.2,30.3,2.0,0.2,14.8,30.7,116.8,96.0,5.1,2.3,7.4,779.0,0.0,20.64864864864865,0.45774647887323944,0.5012345679012346,0.34969325153159697,0.8130434782573346,4.486486486486487,5.108108108108108,1.2162162162162162,0.08108108108108109
13,2011,1,24,Reggie Jackson,Boston College,34.0,1161.0,219.0,435.0,148.0,266.0,71.0,169.0,109.0,137.0,35.0,111.0,146.0,152.0,36.0,18.0,81.0,58.0,618.0,26.9,9.0,0.2,9.1,0.618,0.585,3.9,11.3,7.8,29.7,1.9,1.7,13.9,27.2,122.8,109.8,5.0,0.6,5.6,609.0,0.0,18.176470588235293,0.503448275862069,0.556390977443609,0.4201183431927804,0.7956204379503969,4.294117647058823,4.470588235294118,1.0588235294117647,0.5294117647058824
