,allStar,ast,ast_pct,blk,blk_pct,bpm,class,conf_abbr,dbpm,def_rtg,drb,drb_pct,dws,efg_pct,fg,fg2,fg2a,fg3,fg3a,fga,ft,fta,g,mp,obpm,off_rtg,orb,orb_pct,ows,per,pf,pick_overall,player,pos,pprod,pts,round,school_name,season,stl,stl_pct,tov,tov_pct,trb,trb_pct,ts_pct,usg_pct,ws,year_drafted,pts_pg,fg_p,fg2_p,fg3_p,ft_p,trb_p,ast_p,stl_p,blk_p
0,1.0,189.0,40.2,8.0,0.6,7.4,JR,Southern,2.9,97.9,130.0,14.8,3.6,0.5489999999999999,312.0,182.0,351.0,130.0,336.0,687.0,220.0,251.0,34.0,1145.0,4.1,114.1,21.0,6.0,6.4,21.2,81.0,7,Stephen Curry,G,425.0,974.0,1,Davidson,2008-09,86.0,1.9,126.0,13.5,151.0,6.9,0.604,38.3,9.9,2009,28.647058823529413,0.45414847161572053,0.5185185185185185,0.3869047619036104,0.8764940239008905,4.4411764705882355,5.5588235294117645,2.5294117647058822,0.23529411764705882
4,1.0,104.0,12.7,14.0,1.8,7.4,SO,Southern,2.9,97.9,137.0,14.8,3.3,0.607,317.0,155.0,287.0,162.0,369.0,656.0,135.0,151.0,36.0,1193.0,4.1,114.1,28.0,6.0,7.0,21.2,85.0,7,Stephen Curry,G,425.0,931.0,1,Davidson,2007-08,73.0,1.9,93.0,11.3,165.0,11.0,0.64,22.9,10.3,2009,25.86111111111111,0.48323170731707316,0.5400696864111498,0.43902439024271267,0.894039735093417,4.583333333333333,2.888888888888889,2.0277777777777777,0.3888888888888889
7,1.0,46.0,8.6,67.0,3.5,7.4,FR,Big 12,2.9,97.9,284.0,14.8,4.1,0.536,306.0,224.0,444.0,82.0,203.0,647.0,209.0,256.0,35.0,1255.0,4.1,114.1,106.0,6.0,4.7,21.2,71.0,2,Kevin Durant,F,425.0,903.0,1,Texas,2006-07,66.0,1.9,99.0,11.4,390.0,16.5,0.5870000000000001,33.2,8.8,2007,25.8,0.47295208655332305,0.5045045045045045,0.40394088669751754,0.816406249996811,11.142857142857142,1.3142857142857143,1.8857142857142857,1.9142857142857144
19,1.0,80.0,16.3,41.0,2.6,7.4,SO,Big 12,2.9,97.9,369.0,14.8,3.5,0.657,300.0,297.0,451.0,3.0,8.0,459.0,191.0,324.0,35.0,1165.0,4.1,114.1,135.0,6.0,6.1,21.2,89.0,1,Blake Griffin,F,425.0,794.0,1,Oklahoma,2008-09,39.0,1.9,116.0,15.9,504.0,24.0,0.648,30.8,9.7,2009,22.685714285714287,0.6535947712418301,0.6585365853658537,0.374999999953125,0.5895061728376867,14.4,2.2857142857142856,1.1142857142857143,1.1714285714285715
21,1.0,128.0,27.1,7.0,0.7,8.8,JR,Big Sky,-1.4,101.6,144.0,15.8,1.4,0.562,231.0,137.0,265.0,94.0,230.0,495.0,228.0,257.0,32.0,1105.0,10.3,128.4,17.0,1.9,6.7,34.0,62.0,6,Damian Lillard,G,746.0,784.0,1,Weber State,2011-12,47.0,2.5,74.0,10.7,161.0,9.0,0.635,33.0,8.0,2012,24.5,0.4666666666666667,0.5169811320754717,0.4086956521721361,0.887159533070478,5.03125,4.0,1.46875,0.21875
25,1.0,77.0,11.9,30.0,1.5,7.4,FR,Big East,2.9,97.9,248.0,14.8,3.1,0.498,277.0,221.0,446.0,56.0,166.0,612.0,168.0,238.0,35.0,1274.0,4.1,114.1,101.0,6.0,2.7,21.2,77.0,3,Carmelo Anthony,F,425.0,778.0,1,Syracuse,2002-03,55.0,1.9,77.0,9.6,349.0,14.0,0.537,29.3,5.8,2003,22.228571428571428,0.4526143790849673,0.49551569506726456,0.33734939758832927,0.7058823529382106,9.971428571428572,2.2,1.5714285714285714,0.8571428571428571
44,1.0,127.0,25.0,32.0,3.1,10.1,JR,Pac-10,3.2,95.8,153.0,14.0,2.2,0.525,240.0,142.0,305.0,98.0,246.0,551.0,155.0,185.0,34.0,1179.0,6.8,109.8,25.0,2.6,3.7,26.1,99.0,11,Klay Thompson,G,694.0,733.0,1,Washington State,2010-11,56.0,2.8,115.0,15.3,178.0,8.6,0.574,32.8,5.8,2011,21.558823529411764,0.4355716878402904,0.46557377049180326,0.39837398373821803,0.837837837833309,5.235294117647059,3.735294117647059,1.6470588235294117,0.9411764705882353
48,1.0,95.0,12.7,6.0,1.8,7.4,FR,Southern,2.9,97.9,125.0,14.8,2.4,0.579,242.0,120.0,224.0,122.0,299.0,523.0,124.0,145.0,34.0,1049.0,4.1,114.1,32.0,6.0,4.6,21.2,87.0,7,Stephen Curry,G,425.0,730.0,1,Davidson,2006-07,62.0,1.9,95.0,13.8,157.0,11.0,0.617,22.9,7.0,2009,21.470588235294116,0.4627151051625239,0.5357142857142857,0.4080267558514782,0.8551724137872058,4.617647058823529,2.7941176470588234,1.8235294117647058,0.17647058823529413
65,1.0,145.0,12.7,43.0,1.8,7.4,JR,CUSA,2.9,97.9,149.0,14.8,2.9,0.515,251.0,237.0,457.0,14.0,44.0,501.0,194.0,249.0,33.0,1058.0,4.1,114.1,60.0,6.0,3.6,21.2,76.0,5,Dwyane Wade,G,425.0,710.0,1,Marquette,2002-03,71.0,1.9,107.0,14.7,209.0,11.0,0.573,22.9,6.5,2003,21.515151515151516,0.500998003992016,0.5185995623632386,0.3181818181745868,0.7791164658603249,6.333333333333333,4.393939393939394,2.1515151515151514,1.303030303030303
73,1.0,148.0,29.2,11.0,0.8,7.4,SO,Pac-10,2.9,97.9,147.0,14.8,2.0,0.5529999999999999,221.0,163.0,289.0,58.0,163.0,452.0,204.0,270.0,35.0,1254.0,4.1,114.1,48.0,6.0,5.1,21.2,99.0,3,James Harden,G,425.0,704.0,1,Arizona State,2008-09,59.0,1.9,118.0,16.9,195.0,10.4,0.607,32.5,7.2,2009,20.114285714285714,0.4889380530973451,0.5640138408304498,0.35582822085671273,0.7555555555527572,5.571428571428571,4.228571428571429,1.6857142857142857,0.3142857142857143
