,year_drafted,round,pick_overall,player,school_name,g,mp,fg,fga,fg2,fg2a,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,obpm,dbpm,bpm,ts_pct,efg_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,ows,dws,ws,pprod,allStar,pts_pg,fg_p,fg2_p,fg3_p,ft_p,trb_p,ast_p,stl_p,blk_p
0,2003,1,3,Carmelo Anthony,Syracuse,35.0,1274.0,277.0,612.0,221.0,446.0,56.0,166.0,168.0,238.0,101.0,248.0,349.0,77.0,55.0,30.0,77.0,77.0,778.0,21.2,4.1,2.9,7.4,0.537,0.498,6.0,14.8,14.0,11.9,1.9,1.5,9.6,29.3,114.1,97.9,2.7,3.1,5.8,425.0,1.0,22.228571428571428,0.4526143790849673,0.49551569506726456,0.33734939758832927,0.7058823529382106,9.971428571428572,2.2,1.5714285714285714,0.8571428571428571
1,2003,1,4,Chris Bosh,Georgia Tech,31.0,960.0,168.0,300.0,146.0,254.0,22.0,46.0,127.0,174.0,95.0,183.0,278.0,38.0,30.0,67.0,72.0,73.0,485.0,21.2,4.1,2.9,7.4,0.634,0.597,6.0,14.8,11.0,12.7,1.9,1.8,15.8,22.9,114.1,97.9,3.5,2.9,6.4,425.0,1.0,15.64516129032258,0.56,0.5748031496062992,0.47826086955482044,0.7298850574670697,8.96774193548387,1.2258064516129032,0.967741935483871,2.161290322580645
2,2003,1,5,Dwyane Wade,Marquette,33.0,1058.0,251.0,501.0,237.0,457.0,14.0,44.0,194.0,249.0,60.0,149.0,209.0,145.0,71.0,43.0,107.0,76.0,710.0,21.2,4.1,2.9,7.4,0.573,0.515,6.0,14.8,11.0,12.7,1.9,1.8,14.7,22.9,114.1,97.9,3.6,2.9,6.5,425.0,1.0,21.515151515151516,0.500998003992016,0.5185995623632386,0.3181818181745868,0.7791164658603249,6.333333333333333,4.393939393939394,2.1515151515151514,1.303030303030303
3,2003,1,7,Kirk Hinrich,Kansas,37.0,1241.0,232.0,488.0,143.0,269.0,89.0,219.0,88.0,125.0,38.0,101.0,139.0,130.0,69.0,16.0,83.0,78.0,641.0,21.2,4.1,2.9,7.4,0.586,0.5670000000000001,6.0,14.8,11.0,12.7,1.9,1.8,13.2,22.9,114.1,97.9,3.5,2.8,6.3,425.0,0.0,17.324324324324323,0.47540983606557374,0.5315985130111525,0.4063926940620713,0.703999999994368,3.7567567567567566,3.5135135135135136,1.864864864864865,0.43243243243243246
4,2003,1,8,T.J. Ford,Texas,33.0,1110.0,159.0,397.0,141.0,329.0,18.0,68.0,159.0,194.0,21.0,107.0,128.0,254.0,66.0,5.0,107.0,83.0,495.0,21.2,4.1,2.9,7.4,0.506,0.423,6.0,14.8,11.0,12.7,1.9,1.8,17.9,22.9,114.1,97.9,1.3,3.0,4.3,425.0,0.0,15.0,0.4005037783375315,0.42857142857142855,0.2647058823490484,0.8195876288617547,3.878787878787879,7.696969696969697,2.0,0.15151515151515152
5,2003,1,9,Mike Sweetney,Georgetown,34.0,1100.0,264.0,483.0,264.0,480.0,0.0,3.0,248.0,336.0,137.0,215.0,352.0,66.0,50.0,109.0,71.0,95.0,776.0,21.2,4.1,2.9,7.4,0.604,0.547,6.0,14.8,17.2,14.9,1.9,7.0,9.9,29.8,114.1,97.9,4.8,4.9,9.8,425.0,0.0,22.823529411764707,0.546583850931677,0.55,0.0,0.7380952380930415,10.352941176470589,1.9411764705882353,1.4705882352941178,3.2058823529411766
6,2003,1,10,Jarvis Hayes,Georgia,27.0,872.0,185.0,368.0,131.0,241.0,54.0,127.0,69.0,88.0,34.0,85.0,119.0,54.0,31.0,12.0,38.0,64.0,493.0,21.2,4.1,2.9,7.4,0.602,0.5760000000000001,6.0,14.8,7.5,12.6,1.9,0.9,8.5,25.0,114.1,97.9,2.9,1.1,4.0,425.0,0.0,18.25925925925926,0.5027173913043478,0.5435684647302904,0.42519685039035277,0.784090909081999,4.407407407407407,2.0,1.1481481481481481,0.4444444444444444
7,2003,1,12,Nick Collison,Kansas,38.0,1232.0,281.0,507.0,268.0,469.0,13.0,38.0,127.0,200.0,125.0,255.0,380.0,84.0,44.0,74.0,92.0,95.0,702.0,21.2,4.1,2.9,7.4,0.583,0.5670000000000001,6.0,14.8,11.0,12.7,1.9,1.8,13.3,22.9,114.1,97.9,3.8,5.4,9.1,425.0,0.0,18.473684210526315,0.5542406311637081,0.5714285714285714,0.342105263148892,0.634999999996825,10.0,2.210526315789474,1.1578947368421053,1.9473684210526316
8,2003,1,14,Luke Ridnour,Oregon,33.0,1169.0,203.0,470.0,122.0,258.0,81.0,212.0,162.0,184.0,20.0,92.0,112.0,218.0,63.0,2.0,129.0,77.0,649.0,21.2,4.1,2.9,7.4,0.5820000000000001,0.518,6.0,14.8,5.3,35.1,1.9,0.1,18.8,27.1,114.1,97.9,3.5,1.5,5.0,425.0,0.0,19.666666666666668,0.4319148936170213,0.4728682170542636,0.382075471696311,0.8804347826039107,3.393939393939394,6.606060606060606,1.9090909090909092,0.06060606060606061
9,2003,1,15,Reece Gaines,Louisville,32.0,1030.0,177.0,383.0,102.0,191.0,75.0,192.0,145.0,197.0,18.0,76.0,94.0,159.0,55.0,4.0,95.0,82.0,574.0,21.2,4.1,2.9,7.4,0.602,0.56,6.0,14.8,11.0,12.7,1.9,1.8,16.6,22.9,114.1,97.9,3.5,1.9,5.5,425.0,0.0,17.9375,0.4621409921671018,0.5340314136125655,0.3906249999979655,0.7360406091333196,2.9375,4.96875,1.71875,0.125
